Nom,Prix,Prix réduit,Lien,Site web,Catégorie,Date de collecte
"Pc Portable Gaming ASUS ROG STRIX 17 – AMD Ryzen 7 6800H, RTX 3060","15,490.00MAD","17,990.00MAD",https://setupgame.ma/produit/pc-portable-gaming-asus-rog-strix-17-rtx-3060/,Setup Game,PC Portable,2025-02-03 01:44:30
"Pc Portable DELL XPS 13-9310 – Core™ i7 11th Génération, Écran Tactile, 4K","15,490.00MAD","19,990.00MAD",https://setupgame.ma/produit/pc-portable-dell-xps-13-9310/,Setup Game,PC Portable,2025-02-03 01:44:30
"MSI GF66 KATANA 11UE – Core™ i5 11th, RTX 3050, 16GB, 512GB","15,999.00MAD","16,499.00MAD",https://setupgame.ma/produit/pc-portable-gamer-msi-gf66-katana-11ue-rtx-3050/,Setup Game,PC Portable,2025-02-03 01:44:30
"MSI Bravo 15 C7VFK – Ryzen 7 7735HS, RTX 4060, 16GB, 512GB","16,490.00MAD","19,690.00MAD",https://setupgame.ma/produit/pc-portable-gamer-msi-bravo-15-c7vfk-maroc/,Setup Game,PC Portable,2025-02-03 01:44:30
"Pc Portable Gamer MSI GF66 Katana 11UE – Core™ i7 11th Génération, RTX 3050","17,499.00MAD","17,999.00MAD",https://setupgame.ma/produit/msi-gf66-katana-11ue-rtx-3050/,Setup Game,PC Portable,2025-02-03 01:44:30
"MSI Katana 15 B13VFK – Core™ i9 13th, RTX 4060, 16GB, 1TB","19,490.00MAD","22,390.00MAD",https://setupgame.ma/produit/pc-portable-msi-katana-15-b13vfk-rtx-4060-maroc/,Setup Game,PC Portable,2025-02-03 01:44:30
"AORUS 16X ASG-53FRC54SH – Core™ i7 14th, RTX 4070, 16GB, 1TB","20,499.00MAD","23,499.00MAD",https://setupgame.ma/produit/pc-portable-gaming-aorus-16x-asg-53frc54sh-rtx-4070-maroc/,Setup Game,PC Portable,2025-02-03 01:44:30
"MSI GF76 KATANA 11UE – Core™ i7 11th, RTX 3060, 16GB, 1TB","22,499.00MAD","23,499.00MAD",https://setupgame.ma/produit/msi-gf76-katana-11ue-rtx-3060/,Setup Game,PC Portable,2025-02-03 01:44:30
"MSI LEOPARD GP66 11UE-679XMA – Core™ i7 11th, RTX 3060, 16GB, 512GB","22,799.00MAD","24,149.00MAD",https://setupgame.ma/produit/pc-portable-msi-leopard-gp66-11ue-679xma-maroc/,Setup Game,PC Portable,2025-02-03 01:44:30
HyperX Cloud Alpha S ( Noir ),"1,199.00MAD","1,499.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-alpha-s-maroc/,Setup Game,PC Portable,2025-02-03 01:44:30
HyperX Alloy Origins 60,"1,199.00MAD","1,399.00MAD",https://setupgame.ma/produit/clavier-gamer-hyperx-alloy-origins-60-maroc/,Setup Game,PC Portable,2025-02-03 01:44:30
HyperX Quadcast S Noir,"1,649.00MAD","2,149.00MAD",https://setupgame.ma/produit/microphone-hyperx-quadcast-s-noir-maroc/,Setup Game,PC Portable,2025-02-03 01:44:30
HyperX Cloud Stinger 2 Core (PC),499.00MAD,599.00MAD,https://setupgame.ma/produit/hyperx-cloud-stinger-2-core-maroc/,Setup Game,PC Portable,2025-02-03 01:44:30
HyperX Cloud III ( Noir ),"1,099.00MAD","1,399.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-iii-noir-maroc/,Setup Game,PC Portable,2025-02-03 01:44:30
HyperX Cloud Alpha Rouge,899.00MAD,"1,099.00MAD",https://setupgame.ma/produit/hyperx-cloud-alpha-rouge-maroc/,Setup Game,PC Portable,2025-02-03 01:44:30
HyperX Cloud III ( Rouge ),"1,099.00MAD","1,399.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-iii-rouge-maroc/,Setup Game,PC Portable,2025-02-03 01:44:30
Y60 – INTEL CORE ULTRA 7 265KF-RTX 4060Ti 16Go,"25,899.00MAD","29,799.00MAD",https://setupgame.ma/produit/pc-gamer-ultra-7-265kf-rtx-4060ti-maroc/,Setup Game,PC Portable,2025-02-03 01:44:30
"LENOVO LEGION PRO 5 16IRX9 – Core™ i9 14th, RTX 4060, 32GB, 1TB","23,999.00MAD","25,499.00MAD",https://setupgame.ma/produit/legion-pro-5-16irx9-rtx-4060-maroc/,Setup Game,PC Portable,2025-02-03 01:44:33
"AORUS 16X ASG-63FRC65SH – Core™ i9 14th, RTX 4070, 32GB, 2TB","24,999.00MAD","26,499.00MAD",https://setupgame.ma/produit/pc-portable-gaming-aorus-16x-asg-63frc65sh-rtx-4070/,Setup Game,PC Portable,2025-02-03 01:44:33
"MSI PULSE GL66 12UEK-619MA – Core™ i7 12th, RTX 3060,16GB, 1TB","25,999.00MAD","27,199.00MAD",https://setupgame.ma/produit/pc-portable-msi-pulse-gl66-12uek-619ma/,Setup Game,PC Portable,2025-02-03 01:44:33
"Pc Portable Gamer MSI Pulse GL76 12UGK-257XMA – Core™ i7 12th Génération, RTX 3070","30,999.00MAD","32,499.00MAD",https://setupgame.ma/produit/pc-portable-gamer-msi-rtx-3070-maroc/,Setup Game,PC Portable,2025-02-03 01:44:33
HyperX Cloud Alpha S ( Noir ),"1,199.00MAD","1,499.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-alpha-s-maroc/,Setup Game,PC Portable,2025-02-03 01:44:33
HyperX Alloy Origins 60,"1,199.00MAD","1,399.00MAD",https://setupgame.ma/produit/clavier-gamer-hyperx-alloy-origins-60-maroc/,Setup Game,PC Portable,2025-02-03 01:44:33
HyperX Quadcast S Noir,"1,649.00MAD","2,149.00MAD",https://setupgame.ma/produit/microphone-hyperx-quadcast-s-noir-maroc/,Setup Game,PC Portable,2025-02-03 01:44:33
HyperX Cloud Stinger 2 Core (PC),499.00MAD,599.00MAD,https://setupgame.ma/produit/hyperx-cloud-stinger-2-core-maroc/,Setup Game,PC Portable,2025-02-03 01:44:33
HyperX Cloud III ( Noir ),"1,099.00MAD","1,399.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-iii-noir-maroc/,Setup Game,PC Portable,2025-02-03 01:44:33
HyperX Cloud Alpha Rouge,899.00MAD,"1,099.00MAD",https://setupgame.ma/produit/hyperx-cloud-alpha-rouge-maroc/,Setup Game,PC Portable,2025-02-03 01:44:33
HyperX Cloud III ( Rouge ),"1,099.00MAD","1,399.00MAD",https://setupgame.ma/produit/casque-gamer-hyperx-cloud-iii-rouge-maroc/,Setup Game,PC Portable,2025-02-03 01:44:33
Y60 – INTEL CORE ULTRA 7 265KF-RTX 4060Ti 16Go,"25,899.00MAD","29,799.00MAD",https://setupgame.ma/produit/pc-gamer-ultra-7-265kf-rtx-4060ti-maroc/,Setup Game,PC Portable,2025-02-03 01:44:33
