Nom du produit,Prix,Site web,Catégorie,Date de collecte,Promotions
"ERAZER Crawler E30e – Core™ i5 12th, RTX 2050, 8GB, 512GB","7,999.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 7,999.00MAD (ancien : 9,599.00MAD)"
"HP PAVILION GAMING 15-EC2011NK – Ryzen R5-5600H, RTX 3050, 16GB, 512Go","8,190.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 8,190.00MAD (ancien : 8,990.00MAD)"
"ERAZER Crawler E30e – Core™ i5 12th, RTX 2050, 16GB, 512GB","8,299.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 8,299.00MAD (ancien : 9,999.00MAD)"
"MSI GF63 11SC-658XMA – Core™ i5 11th, GTX 1650, 16GB, 512GB","8,490.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 8,490.00MAD (ancien : 9,490.00MAD)"
"ASUS A15 TUF507RC-HN011W – Ryzen 7-6800H, RTX 3050, 8GB, 512GB","8,499.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 8,499.00MAD (ancien : 10,099.00MAD)"
"ASUS TUF 506HEB-HN150T – Core™ i5 11th, RTX 3050Ti, 8GB, 512GB","8,499.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 8,499.00MAD (ancien : 10,199.00MAD)"
"ASUS TUF F15 FX516PE – Core™ i5 11th, RTX 3050Ti, 8GB, 512GB","8,499.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 8,499.00MAD (ancien : 9,799.00MAD)"
"ASUS TUF F17 F706H – Core™ i5 11th, RTX 3050Ti, 8GB, 512GB","8,499.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 8,499.00MAD (ancien : 10,099.00MAD)"
"ASUS TUF 506HEB-HN150T – Core™ i5 11th, RTX 3050Ti, 16GB, 512GB","8,799.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 8,799.00MAD (ancien : 10,499.00MAD)"
"HP PAVILION GAMING 15-DK2013NK – Core™ i5 11th, RTX 3050, 8GB, 256Go","8,890.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 8,890.00MAD (ancien : 9,490.00MAD)"
"ASUS VIVOBOOK PRO N7600PC-K5W – Core™ i7 11th, RTX 3050, 16GB, 512GB","8,999.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 8,999.00MAD (ancien : 10,799.00MAD)"
"Dell G15 5511 – Core™ i5 11th, RTX 3050, 8GB, 256GB","9,190.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 9,190.00MAD (ancien : 10,990.00MAD)"
"HP PAVILION GAMING 15-DK2013NK – Core™ i5 11th, RTX 3050, 16GB, 256Go","9,190.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 9,190.00MAD (ancien : 9,790.00MAD)"
"Dell G15 5511 – Core™ i5 11th, RTX 3050, 16GB, 256GB","9,490.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 9,490.00MAD (ancien : 11,390.00MAD)"
"ASUS TUF DASH FX516PC-HN001W – Core™ i7 11th, RTX 3050, 8GB, 512GB","9,599.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 9,599.00MAD (ancien : 11,499.00MAD)"
"Dell G15 5511 – Core™ i5 11th, RTX 3050Ti, 8GB, 512GB","9,690.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 9,690.00MAD (ancien : 11,690.00MAD)"
"MSI Thin GF63 12UC – Core™ i5 12th, RTX 3050, 8GB, 512GB","9,699.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 9,699.00MAD (ancien : 11,599.00MAD)"
"ASUS TUF DASH FX516PC-HN001W – Core™ i7 11th, RTX 3050, 16GB, 512GB","9,799.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 9,799.00MAD (ancien : 11,699.00MAD)"
"Dell G15 5511 – Core™ i5 11th, RTX 3050Ti, 16GB, 512GB","9,990.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 9,990.00MAD (ancien : 11,990.00MAD)"
"MSI Thin GF63 12UC – Core™ i5 12th, RTX 3050, 16GB, 512GB","9,999.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 9,999.00MAD (ancien : 11,999.00MAD)"
"LENOVO LOQ 15IRX9 – Core™ i5 13th, RTX 3050, 16GB, 512GB","9,999.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 9,999.00MAD (ancien : 13,499.00MAD)"
"HP OMEN 15-EK0002NK – Core™ i7 10th, GTX 1660Ti, 16GB, 1To","10,499.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 10,499.00MAD (ancien : 12,599.00MAD)"
"MSI GF63 Thin 11UD-1043XFR – Core™ i5 11th, RTX 3050Ti, 8GB, 512GB","10,590.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 10,590.00MAD (ancien : 11,590.00MAD)"
"MSI GF63 Thin 11UD-1043XFR – Core™ i5 11th, RTX 3050Ti, 16GB, 512GB","10,990.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 10,990.00MAD (ancien : 11,990.00MAD)"
"Gigabyte G5 KF – Core™ i5 12th, RTX 4060, 16GB, 512GB","10,990.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 10,990.00MAD (ancien : 13,190.00MAD)"
"MSI GF63 11SC-659XMA – Core™ i7 11th, GTX 1650, 16GB, 512GB","10,999.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 10,999.00MAD (ancien : 14,499.00MAD)"
"HP OMEN 15-EK0002NK – Core™ i7 10th, GTX 1660Ti, 32GB, 1To","10,999.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 10,999.00MAD (ancien : 13,199.00MAD)"
"MSI Thin GF63 12UC – Core™ i7 12th, RTX 3050, 16GB, 512GB","11,490.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 11,490.00MAD (ancien : 13,690.00MAD)"
"Dell G15 5510 – Core™ i7 10th, RTX 3060, 16GB, 512GB","11,990.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 11,990.00MAD (ancien : 15,490.00MAD)"
"Pc Portable Gaming ACER NITRO 5 AN515-57-529L – RTX 3070, Core™ i5 11th Génération – NEUF SANS EMBALLAGE","11,990.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 11,990.00MAD (ancien : 13,490.00MAD)"
"Dell G15 5511 – Core™ i7 11th, RTX 3050Ti, 16GB, 512GB","11,990.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 11,990.00MAD (ancien : 13,990.00MAD)"
"MSI BRAVO 15 B5DD-299XMA – Ryzen R7-5800H, RX 5500M, 16GB, 512GB","12,999.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 12,999.00MAD (ancien : 14,499.00MAD)"
"Pc Portable Gamer MSI GF63 Thin 10UC – Core™ i5 10th Génération, RTX 3050","13,490.00MAD",Setup Game,PC Portable,2025-02-01,
"LENOVO LOQ 15IRX9 – Core™ i7 13th, RTX 4050, 16GB, 512GB","13,899.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 13,899.00MAD (ancien : 15,399.00MAD)"
"Pc Portable Gamer MSI GF63 11UC-660XMA – Core™ i7 11th Génération, RTX 3050","13,990.00MAD",Setup Game,PC Portable,2025-02-01,
"MSI Cyborg 15 A12VE – Core™ i7 12th, RTX 4050, 16GB, 512GB","13,990.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 13,990.00MAD (ancien : 16,790.00MAD)"
"MSI Cyborg 15 A13VE – Core™ i7 13th, RTX 4050, 16GB, 512GB","14,490.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 14,490.00MAD (ancien : 17,390.00MAD)"
"Dell G15 5511 – Core™ i7 11th, RTX 3060, 16GB, 1TB","14,590.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 14,590.00MAD (ancien : 16,590.00MAD)"
"Dell G15 5511 – Core™ i7 11th, RTX 3060, 32GB, 1TB","14,990.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 14,990.00MAD (ancien : 16,990.00MAD)"
"Pc Portable Gaming ASUS ROG STRIX 17 – AMD Ryzen 7 6800H, RTX 3060","15,490.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 15,490.00MAD (ancien : 17,990.00MAD)"
"Pc Portable DELL XPS 13-9310 – Core™ i7 11th Génération, Écran Tactile, 4K","15,490.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 15,490.00MAD (ancien : 19,990.00MAD)"
"MSI GF66 KATANA 11UE – Core™ i5 11th, RTX 3050, 16GB, 512GB","15,999.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 15,999.00MAD (ancien : 16,499.00MAD)"
"MSI Bravo 15 C7VFK – Ryzen 7 7735HS, RTX 4060, 16GB, 512GB","16,490.00MAD",Setup Game,PC Portable,2025-02-01,"Prix promo : 16,490.00MAD (ancien : 19,690.00MAD)"
